city,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
哈尔滨市,12079.0,11397.0,10923.0,12087.0,11017.0,11054.0,10503.0,10375.0,9937.0,10195.0,11105.0,12346.0,11465.0,9869.0,10957.0,10934.0,10464.0,9928.0,9293.0,9361.0,9841.0,9441.0,10344.0,9669.0,10481.0,9665.0,10006.0,10080.0,10644.0,10919.0,12231.0,12169.0,11589.0,11863.0,11837.0,12231.0,12472.0,12202.0,11890.0,13298.0,13653.0,13730.0,13775.0,13634.0,14158.0,15114.0,13877.0,14089.0,14395.0,13939.0,13282.0
唐山市,11539.0,13027.0,11955.0,12547.0,8945.0,8473.0,8509.0,8518.0,6588.0,8168.0,9121.0,9990.0,7503.0,9015.0,10771.0,7696.0,8853.0,10011.0,8530.0,8530.0,9475.0,9844.0,11278.0,9350.0,7340.0,9822.0,9871.0,10427.0,10305.0,10579.0,11111.0,,11312.0,11391.0,11977.0,13047.0,11957.0,11121.0,11321.0,12978.0,12172.0,11878.0,11955.0,11906.0,13230.0,12728.0,12109.0,14516.0,13266.0,13210.0,13906.0
嘉兴市,13815.0,15049.0,12986.0,13912.0,13299.0,13048.0,14493.0,15463.0,14504.0,13556.0,13671.0,12313.0,12612.0,12462.0,11939.0,11730.0,13223.0,13634.0,12334.0,12886.0,11835.0,12487.0,13089.0,12782.0,12327.0,12645.0,13088.0,14324.0,15200.0,15927.0,16452.0,17124.0,15858.0,16360.0,16342.0,16817.0,15773.0,16156.0,15721.0,16014.0,17497.0,17817.0,17992.0,17399.0,17354.0,16439.0,16517.0,17008.0,17739.0,17370.0,17627.0
大连市,12811.0,14043.0,13022.0,14026.0,13870.0,11890.0,13023.0,14786.0,14284.0,13364.0,14364.0,15882.0,13731.0,14476.0,14125.0,13562.0,13459.0,11965.0,15353.0,15114.0,14296.0,14316.0,12961.0,15187.0,13801.0,13453.0,13459.0,15421.0,14305.0,15424.0,16702.0,16381.0,15907.0,15502.0,15950.0,16018.0,15916.0,16522.0,17165.0,17769.0,17256.0,17880.0,17711.0,18717.0,18353.0,18662.0,19838.0,19126.0,18590.0,18072.0,18496.0
天津市,31067.0,33328.0,28905.0,29309.0,24624.0,24604.0,23641.0,22423.0,21495.0,24447.0,25553.0,23967.0,25029.0,24094.0,24990.0,25850.0,26245.0,28548.0,27213.0,28046.0,29606.0,29849.0,32148.0,28273.0,29017.0,30853.0,29454.0,28061.0,29478.0,31293.0,33619.0,33379.0,32733.0,30843.0,29840.0,30769.0,31934.0,34418.0,31993.0,33430.0,32848.0,34035.0,34431.0,35703.0,32940.0,35354.0,33330.0,33722.0,34964.0,32794.0,33289.0
太原市,9882.0,13789.0,13419.0,18006.0,10136.0,11508.0,10102.0,12988.0,11001.0,11586.0,10985.0,13244.0,10182.0,14757.0,10097.0,12050.0,12291.0,11958.0,10389.0,14288.0,11105.0,12416.0,11462.0,12211.0,11077.0,10578.0,10985.0,11141.0,10233.0,11756.0,14118.0,13687.0,14847.0,14217.0,15300.0,15168.0,13677.0,14120.0,14811.0,15660.0,15323.0,14077.0,16754.0,17238.0,17529.0,18462.0,19447.0,19607.0,19447.0,21243.0,20401.0
宁波市,21271.0,24236.0,23179.0,21690.0,21667.0,21391.0,21146.0,20358.0,20242.0,22410.0,20052.0,21292.0,18572.0,18763.0,19402.0,20315.0,19365.0,18895.0,19087.0,18949.0,19337.0,18662.0,17854.0,18910.0,18236.0,18152.0,18339.0,19253.0,19775.0,18984.0,20028.0,20712.0,20795.0,20834.0,20254.0,20606.0,20425.0,20746.0,21073.0,22777.0,22420.0,23321.0,23515.0,24147.0,22791.0,23329.0,22071.0,23210.0,25645.0,25970.0,24858.0
安庆市,15528.0,13286.0,12806.0,13593.0,11628.0,15835.0,12839.0,12337.0,11654.0,12356.0,12548.0,13822.0,12823.0,12319.0,13932.0,15014.0,13214.0,12758.0,12415.0,11071.0,11846.0,12103.0,11230.0,11067.0,11416.0,11515.0,11967.0,11517.0,11977.0,11408.0,11673.0,,11736.0,10237.0,10393.0,10257.0,10424.0,10190.0,9944.0,10892.0,10630.0,9801.0,10325.0,10637.0,11676.0,11999.0,12650.0,15298.0,14175.0,13573.0,14235.0
常州市,14121.0,11093.0,13420.0,14267.0,13628.0,15603.0,14131.0,11302.0,12733.0,12211.0,12305.0,13187.0,12086.0,12440.0,12850.0,13394.0,11622.0,12351.0,12636.0,13335.0,12852.0,13478.0,13828.0,13559.0,14283.0,12650.0,13805.0,14319.0,13676.0,14637.0,14421.0,14860.0,15562.0,15536.0,14098.0,15688.0,16130.0,16065.0,16184.0,17372.0,16515.0,16980.0,17009.0,16932.0,17677.0,17779.0,18299.0,17413.0,16467.0,17708.0,17399.0
平顶山市,,,6983.0,8858.0,6610.0,4618.0,2752.0,4966.0,12069.0,6767.0,8569.0,8806.0,4321.0,4765.0,7463.0,5705.0,5796.0,4767.0,6162.0,8290.0,5993.0,6965.0,7886.0,6027.0,7206.0,8860.0,5518.0,7926.0,7063.0,8474.0,8611.0,,7868.0,8458.0,6556.0,7072.0,8003.0,6564.0,7654.0,8144.0,7818.0,7486.0,8341.0,8940.0,7331.0,8541.0,9222.0,9275.0,11059.0,9950.0,9421.0
