city,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
嘉兴市,,24.27,23.76,24.68,21.23,23.46,24.77,22.15,24.34,20.81,26.6,25.59,23.57,26.75,26.05,26.0,26.31,23.97,24.94,27.86,27.61,27.9,26.7,26.4,30.0,25.5,25.8,26.1,26.4,30.3,30.3,30.6,29.4,30.6,28.2,30.3,29.4,30.3,31.0,33.0,33.0,31.0,31.0,32.0,31.64,33.26,32.77,31.33,35.04,34.39,32.77
大连市,58.55,58.17,56.44,58.31,56.39,57.03,59.18,57.53,54.81,55.17,57.57,59.94,56.45,59.66,58.84,54.72,57.19,53.8,58.93,65.45,58.06,59.1,59.7,53.4,54.3,54.0,54.9,55.8,55.2,57.0,60.0,57.6,60.6,58.2,58.5,57.0,56.4,57.6,60.0,63.0,61.0,60.0,60.0,62.0,62.52,60.93,58.72,60.69,55.87,58.11,56.93
天津市,63.36,61.9,77.67,79.98,75.06,75.6,65.47,64.6,61.24,75.99,81.42,77.92,75.93,78.45,77.9,74.6,74.17,71.51,71.36,71.13,71.98,69.6,70.2,68.1,68.4,72.0,70.5,71.4,71.4,71.4,69.6,71.7,70.8,71.1,70.5,70.8,73.2,78.0,76.0,76.0,78.0,77.0,75.0,76.0,73.77,76.07,71.63,72.82,79.3,74.13,73.83
太原市,48.96,46.34,46.16,45.01,35.29,34.69,35.32,35.67,30.59,33.08,40.75,43.01,39.85,31.6,38.6,43.1,37.27,32.0,43.64,40.06,40.64,36.6,42.6,34.8,35.1,38.7,40.2,40.2,38.4,42.3,42.9,43.8,45.3,47.1,48.0,47.1,44.7,46.5,48.0,51.0,48.0,46.0,50.0,48.0,50.54,49.58,49.54,50.52,46.12,49.21,49.55
宁波市,45.85,47.31,47.35,48.06,47.53,46.28,48.64,49.19,47.72,43.06,50.28,48.42,48.95,46.87,51.25,49.34,50.09,47.69,49.61,48.91,49.16,47.4,48.3,48.9,48.6,47.7,48.3,48.9,48.0,48.0,47.7,48.9,48.3,48.6,47.1,48.0,48.3,49.8,49.0,51.0,49.0,49.0,50.0,51.0,50.84,49.86,48.18,49.97,49.22,49.92,48.48
常州市,29.4,27.52,33.16,33.4,29.35,31.03,26.11,25.37,24.42,25.62,32.25,30.45,29.11,34.15,33.41,29.21,29.86,28.29,34.87,31.11,31.32,31.2,30.3,31.2,29.7,29.7,32.7,31.8,31.2,32.1,30.3,30.0,34.2,33.9,32.7,33.9,32.4,32.4,33.0,34.0,37.0,36.0,36.0,35.0,34.54,33.86,33.36,34.55,34.95,32.61,35.25
广州市,108.64,115.76,108.22,106.52,104.61,111.48,110.87,107.54,108.26,109.92,108.14,103.15,110.9,101.23,104.45,106.68,106.81,101.88,102.18,103.39,99.47,103.5,103.5,106.5,111.3,104.1,107.1,107.7,102.9,102.0,105.9,106.5,105.6,104.7,106.2,109.5,105.9,113.1,109.0,111.0,113.0,117.0,117.0,116.0,118.74,115.31,115.5,113.03,119.12,119.53,114.06
徐州市,21.61,23.13,23.75,21.99,22.15,22.69,26.8,27.53,27.26,24.82,24.75,26.91,23.48,23.21,19.07,19.54,18.8,19.72,19.73,20.13,19.77,31.5,23.4,23.1,24.6,25.2,25.2,23.4,26.4,26.4,24.9,27.9,30.3,29.1,27.0,26.7,25.2,29.7,30.0,29.0,29.0,31.0,31.0,32.0,35.68,32.99,29.31,34.26,34.14,32.75,33.22
惠州市,,,23.44,30.27,24.9,27.94,35.61,28.6,35.8,29.33,38.14,37.23,41.31,40.41,36.68,39.19,37.97,36.3,40.31,37.9,41.16,41.1,40.8,45.0,42.3,39.3,40.8,38.4,39.0,39.9,45.0,46.5,48.0,47.4,45.3,46.8,46.5,50.4,51.0,52.0,50.0,48.0,47.0,50.0,50.3,48.25,49.39,48.57,50.12,50.5,48.76
成都市,66.73,66.5,67.74,64.91,62.38,61.84,54.15,58.98,55.92,53.98,56.76,58.82,59.92,59.71,58.6,57.96,55.67,55.64,57.14,58.94,55.82,55.8,56.7,57.0,59.1,55.8,56.4,57.3,55.8,60.9,63.0,65.4,63.0,62.7,61.5,62.1,63.9,67.2,69.0,70.0,71.0,72.0,71.0,71.0,71.25,69.69,69.6,67.11,67.25,70.34,69.73
