city_name,2009-1,2009-2,2009-3,2009-4,2010-1,2010-2,2010-3,2010-4,2011-1,2011-2,2011-3,2011-4,2012-1,2012-2,2012-3,2012-4,2013-1,2013-2,2013-3,2013-4,2014-1,2014-2,2014-3,2014-4,2015-1,2015-2,2015-3,2015-4,2016-1,2016-2,2016-3,2016-4,2017-1,2017-2,2017-3,2017-4
潍坊,,,,,100.0,96.27,98.9,101.53,101.29,121.21,121.01,121.53,122.3,130.0,119.18,118.64,105.53,110.35,114.58,113.33,113.11,126.75,125.74,108.16,120.18,111.48,107.42,103.07,111.04,102.44,134.15,119.72,115.36,118.98,122.6,126.62
烟台,,,,,100.0,98.14,87.32,84.35,89.1,97.32,103.6,115.44,101.3,107.18,124.23,109.39,104.65,101.24,104.42,100.99,103.92,108.21,101.33,100.05,112.72,109.42,105.17,105.06,119.72,116.88,109.74,119.03,127.67,131.04,136.92,130.7
珠海,,,,,,,,,100.0,106.89,114.99,115.46,123.52,119.64,118.79,140.69,125.46,123.56,135.5,155.74,165.55,174.84,156.77,141.21,149.16,150.31,156.59,148.07,149.17,144.08,153.48,174.21,201.55,205.95,188.61,203.21
石家庄,,,,,100.0,106.4,115.34,134.8,118.37,117.31,130.1,128.48,146.62,159.1,119.0,130.12,156.9,149.15,161.06,145.86,171.77,174.29,168.93,179.46,192.89,189.27,165.11,188.91,195.89,189.44,195.47,198.82,199.39,229.29,263.42,259.03
福州,,,,,100.0,108.81,113.06,124.49,125.46,136.46,175.7,174.71,192.91,192.49,195.82,199.91,197.19,193.93,209.83,206.99,215.19,211.99,209.83,199.35,178.62,171.24,175.59,183.96,189.02,183.95,186.08,187.07,201.66,215.04,217.48,226.25
绍兴,,,,,,,,,100.0,67.84,62.17,116.89,68.0,66.87,123.67,70.37,65.83,73.29,64.65,88.09,76.56,73.12,70.04,64.86,68.18,65.81,71.2,70.87,117.54,95.6,68.67,69.04,71.83,74.42,76.33,77.53
苏州,,,,,100.0,97.46,103.95,105.63,114.53,111.93,111.08,116.93,116.53,122.69,115.98,113.85,131.6,129.09,129.3,132.63,145.13,132.95,136.9,132.85,138.44,142.42,148.46,153.66,159.5,157.33,156.22,153.14,164.13,167.62,165.08,159.96
西安,,,,,100.0,108.18,103.73,113.7,118.4,136.58,132.62,135.66,142.19,141.41,131.4,135.88,137.48,145.44,146.1,149.06,154.21,164.19,170.2,164.93,157.64,158.32,152.34,166.39,170.46,168.53,168.14,173.14,176.09,185.89,203.19,209.53
贵阳,,,,,100.0,101.66,95.78,102.15,108.14,119.6,133.88,132.36,125.77,117.71,112.83,118.69,126.65,125.23,133.91,147.83,146.53,163.03,169.88,155.1,176.46,151.24,128.06,134.88,137.54,129.86,131.73,135.36,140.44,132.88,128.07,127.35
赣州,,,,,,,,,100.0,101.8,110.85,131.58,112.43,118.76,116.0,125.47,138.09,139.6,147.67,148.27,153.27,167.31,177.59,166.42,159.33,142.36,146.95,159.53,152.13,145.19,154.73,160.28,149.73,167.33,178.65,168.22
郑州,100.0,90.93,86.91,92.37,94.88,102.59,120.09,115.32,134.16,147.91,162.16,152.69,150.21,163.0,161.95,183.59,195.14,198.01,210.22,240.0,258.81,265.17,221.19,215.78,220.36,216.12,211.04,215.03,209.83,204.75,192.15,194.65,201.82,212.81,224.17,216.88
重庆,,,,,100.0,116.72,103.49,109.95,128.82,139.74,144.67,131.11,131.53,142.38,137.98,162.48,160.45,169.13,163.31,185.76,179.91,196.01,189.77,193.82,191.13,175.82,160.84,163.08,172.96,168.08,166.92,165.52,168.5,190.31,198.81,199.66
金华,,,,,,,,,100.0,132.07,124.72,129.28,135.6,120.63,113.54,143.65,131.24,118.73,121.37,146.72,131.35,116.55,123.67,122.4,130.85,118.83,110.65,115.1,110.68,111.19,116.07,113.26,112.7,116.78,122.46,123.81
长春,100.0,106.55,114.42,138.59,112.86,130.04,138.23,158.53,167.75,155.78,144.15,141.75,144.85,139.81,137.76,157.88,147.24,143.2,162.2,164.21,171.01,177.72,158.84,145.3,158.83,151.09,153.05,177.54,193.17,170.35,182.41,182.09,179.15,184.98,194.69,203.81
长沙,,,,,100.0,122.33,105.26,102.49,118.98,133.77,130.62,135.73,139.29,149.88,158.46,154.23,174.89,179.39,185.37,191.26,181.02,184.45,160.58,172.34,139.95,150.06,155.72,162.09,151.9,162.23,175.72,174.27,179.46,197.06,210.99,214.9
青岛,100.0,93.49,99.22,100.82,95.03,98.64,95.94,101.14,98.65,98.55,101.78,105.93,101.0,104.66,107.01,109.02,109.7,110.55,112.64,113.19,114.53,114.51,112.37,109.31,109.22,109.88,106.42,118.83,123.93,126.42,132.31,130.22,143.3,149.24,160.36,157.57
