city,2009-03,2009-06,2009-09,2009-12,2010-03,2010-06,2010-09,2010-12,2011-03,2011-06,2011-09,2011-12,2012-03,2012-06,2012-09,2012-12,2013-03,2013-06,2013-09,2013-12,2014-03,2014-06,2014-09,2014-12,2015-03,2015-06,2015-09,2015-12,2016-03,2016-06,2016-09,2016-12,2017-03,2017-06,2017-09,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
沈阳市,,,,,100.0,109.65,114.22,120.84,123.84,127.98,143.57,162.37,166.21,155.66,143.36,158.98,160.82,157.02,171.58,159.71,161.73,164.25,172.01,148.43,137.58,118.3,132.51,144.23,138.44,129.18,133.92,131.36,138.81,140.24,146.66,137.91,136.95,152.27,162.8,185.15,185.15,188.34,181.96,181.96,198.43,207.85,208.17,218.19,247.24,215.7,202.58
泉州市,,,,,100.0,103.6,118.7,137.45,125.83,136.64,140.08,141.81,151.73,151.79,119.31,132.62,143.2,176.95,173.79,161.49,164.54,170.94,175.17,130.36,131.07,121.23,119.91,124.32,138.82,137.64,120.43,111.71,124.29,107.05,107.55,110.44,115.36,101.29,114.89,131.3,143.02,133.64,154.74,157.08,145.4,132.9,142.89,157.64,148.4,145.7,186.61
泰安市,,,,,,,,,100.0,95.23,102.32,97.95,95.06,84.76,89.13,108.87,115.6,97.41,130.14,110.56,111.85,112.89,116.17,79.74,109.53,89.26,96.7,93.69,80.1,82.81,89.01,104.37,103.21,98.13,56.34,95.45,108.42,112.13,126.65,120.47,139.0,114.29,111.2,123.56,134.0,112.81,124.15,125.88,104.47,134.06,132.24
泰州市,,,,,100.0,114.34,131.12,131.39,142.38,117.26,156.48,175.43,165.99,149.74,153.39,149.62,148.14,149.24,155.44,162.81,176.7,164.26,198.37,148.71,189.62,185.16,181.34,167.94,167.38,150.59,153.41,157.88,148.95,140.2,97.25,168.64,181.32,181.32,202.88,207.11,224.02,207.11,224.02,207.11,223.59,180.35,219.07,224.56,201.95,219.36,207.36
泸州市,,,,,,,,,100.0,128.39,119.96,140.91,152.85,144.15,180.13,178.32,195.31,228.09,210.67,235.94,250.83,220.13,197.02,168.34,217.59,213.64,206.08,199.93,194.42,150.79,186.73,199.75,173.7,166.71,116.67,183.88,215.58,272.65,253.63,264.2,253.63,285.33,274.76,280.04,287.49,265.83,253.62,265.14,266.36,285.38,276.19
洛阳市,,,,,,,,,100.0,105.65,87.36,107.52,100.49,88.76,87.57,92.73,138.84,102.19,121.05,141.23,118.71,135.28,165.03,89.45,116.09,82.35,70.58,71.89,64.97,69.53,77.14,82.81,60.04,72.18,74.03,126.88,134.54,116.49,149.49,246.11,218.76,238.81,182.3,191.42,204.62,205.9,196.49,202.98,239.33,196.4,135.73
济南市,100.0,103.59,118.54,114.87,147.8,175.3,171.66,156.53,187.56,199.23,197.48,207.92,199.63,206.49,190.71,193.39,188.99,212.15,246.27,235.78,260.51,247.87,253.88,242.82,224.02,217.66,196.09,203.55,211.4,208.39,220.01,243.08,227.29,219.67,297.87,329.37,306.88,330.69,330.69,379.19,410.05,410.05,436.5,432.09,468.99,525.25,378.52,450.39,515.25,503.35,502.69
济宁市,,,,,,,,,100.0,98.85,96.93,113.66,117.67,113.43,97.04,114.38,137.83,127.24,109.27,139.13,144.53,137.88,115.98,95.84,87.84,90.43,93.23,109.62,97.04,88.72,109.26,99.42,101.21,102.96,57.72,114.62,107.62,132.12,128.33,137.08,140.0,128.33,140.0,128.33,137.49,135.57,130.76,150.42,154.88,159.23,135.4
海口市,,,,,,,,,100.0,132.69,123.7,111.29,129.27,117.47,125.1,96.34,118.08,163.35,122.41,84.24,104.23,119.17,134.86,98.59,105.38,114.58,95.0,108.57,113.68,113.97,103.21,99.52,98.72,89.49,106.02,82.28,77.47,86.13,115.48,107.46,112.27,121.89,128.31,115.48,136.46,125.57,151.23,139.89,129.35,148.9,160.09
淄博市,,,,,,,,,100.0,107.51,112.42,120.2,111.44,114.16,102.33,99.27,118.97,121.41,127.72,139.42,134.65,139.93,125.26,93.34,100.36,106.21,104.14,108.08,106.53,103.42,115.76,113.46,110.36,114.24,115.97,130.92,171.29,159.29,170.93,167.29,167.29,174.56,160.01,167.28,167.28,164.88,190.37,195.24,196.08,179.57,175.57
